,Unnamed: 0,month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
1616,1616,May,1690143,5856089,2019-05-27 20:32:00,2019-05-27 21:06:00,0:33:41,"412 Gold Ave SW, Albuquerque, NM 87102, USA","100 Gold Ave SW, Albuquerque, NM 87102, USA",36122583,1562964
1617,1617,May,1690145,3936835,2019-05-27 20:33:00,2019-05-27 20:52:00,0:19:01,"2550 Central Ave NE, Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",36401252,1562672
1618,1618,May,1690197,5188380,2019-05-27 20:35:00,2019-05-27 20:36:00,0:01:15,"123 Wellesley Dr SE, Albuquerque, NM 87106, USA","3216 Silver Ave SE, Albuquerque, NM 87106, USA",36391921,1562388
1619,1619,May,1690215,2151716,2019-05-27 20:36:00,2019-05-27 20:36:00,0:00:20,"3216 Silver Ave SE, Albuquerque, NM 87106, USA","123 Wellesley Dr SE, Albuquerque, NM 87106, USA",35570293,1562383
1620,1620,May,1690225,2922267,2019-05-27 20:36:00,2019-05-27 21:02:00,0:26:04,"3216 Silver Ave SE, Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",36392457,1562887
1621,1621,May,1690232,1292599,2019-05-27 20:37:00,2019-05-27 20:52:00,0:15:15,"2550 Central Ave NE, Albuquerque, NM 87106, USA","3205 Central Ave NE, Albuquerque, NM 87106, USA",36403338,1562674
1622,1622,May,1690236,9570873,2019-05-27 20:37:00,2019-05-27 21:18:00,0:41:41,"First Plaza Galeria, 20 First Plaza Center NW, Albuquerque, NM 87102, USA","201 3rd St NW, Albuquerque, NM 87102, USA",36403295,1563219
1623,1623,May,1690298,5188380,2019-05-27 20:39:00,2019-05-27 21:02:00,0:22:59,"3216 Silver Ave SE, Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",36391921,1562877
1624,1624,May,1690310,2151716,2019-05-27 20:40:00,2019-05-27 20:54:00,0:14:02,"123 Wellesley Dr SE, Albuquerque, NM 87106, USA","2901 Central Ave NE, Albuquerque, NM 87106, USA",35570293,1562716
1625,1625,May,1690316,9809643,2019-05-27 20:40:00,2019-05-27 21:25:00,0:44:34,"1898 Mountain Rd NW, Albuquerque, NM 87104, USA","1800 Mountain Rd NW, Albuquerque, NM 87104, USA",36403881,1563357
1626,1626,May,1690323,7343079,2019-05-27 20:41:00,2019-05-27 21:18:00,0:37:52,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","201 3rd St NW, Albuquerque, NM 87102, USA",36404047,1563218
1627,1627,May,1690329,1591106,2019-05-27 20:41:00,2019-05-27 20:52:00,0:11:10,"400 Marquette Ave NW, Albuquerque, NM 87102, USA","118 Rte 66, Albuquerque, NM 87102, USA",36376521,1562677
1628,1628,May,1690330,1286190,2019-05-27 20:41:00,2019-05-27 20:52:00,0:10:45,"400 Marquette Ave NW, Albuquerque, NM 87102, USA","118 Rte 66, Albuquerque, NM 87102, USA",36121339,1562669
